comments;id;aud_id;tags;ru
;test_1;;;Ну что, ты готов к бою?
;test_2;;;Хорошо, удачи тебе!
;test_3;;;А у тебя выбора нет, так ты готов?
;answ_yes;;;Да
;answ_no;;;Нет
;test_win;;;Молодец! Хочешь попробовать ещё раз?
;test_loose;;;Ты проиграл! Хочешь попробовать ещё раз?
;;;;
;intro_coach_1;;;Ну что, готов к бою?
;intro_coach_2;;;Хорошо. Ты ведь помнишь правила, Сэм?
;intro_coach_3;;;А у тебя выбора нет. Так ты готов?
;intro_coach_4;;;Удачи. Наваляй ему!
;intro_coach_5;;;Спроси у того, кто дал тебе этот шлем. Так ты готов?
;;;;
;coach_win;;;Молоток! Ну что, по новой?
;coach_loose;;;Эх-х, Сёма… Земля тебе пухом. Ну что, по новой?
