comments;id;tags;ru;en
;name;;Правокатор;Handy
;scene1_1;;Блять, это интернет-задроство — полный отстой. Я, бля, ненавижу этих интернет-блядей! Помнишь, когда тебе нужно было только представить свою одноклассницу, чтобы мы с тобой классно провели время…;Fuck, this internet nerd shit stinks. I fucking hate these internet whores! Remember when you only had to imagine your classmate for us to have a good time…
;scene1_2;;Поэтому тебе никто и не даёт! Ты настолько отчаялся, что даже с рукой начал говорить! Боже, ебать ты жалок! И что, реально пойдёшь на прогулку за этой посылкой?…;That's why you can't get laid! You're so desperate you've even started talking to your hand! God, you're so fucking pathetic! And what, are you really gonna go for a walk for that package?...
;scene1_3;;Хуёк никчёмный. Будешь так дальше подсасываться к ней и, клянусь, ночью я вскроюсь.;Fucking pussy. Keep sucking up to her like this and I swear, I'll slit my wrists tonight.
;l_1_end;;Чел… Эта девка какая-то реально отбитая! Ты вообще знаешь, что эта херня не игрушка. Ёб твою мать, Чел!;Bud... This chick is totally batshit crazy! Do you even know that this shit isn't a toy. For fuck's sake, Bud!
;l_2_in_h_1;;Чувак! Хотя не, ты Чел… Это было пиздец как больно! И кто там на трубе? ;Dude! Although no, you're Bud... That fucking hurt! And who's that on the phone?
;l_2_in_h_2;;Чел… Ну ладно к тёлке в трусы лезть, но к этому хмырю мы в трусы не лезли с третьего класса! А теперь ещё и на его стройке помогать, может, ну его нахуй?;Bud... Okay, getting into a chick's pants is one thing, but we haven't been in this schmuck's pants since the third grade! And now we have to help him at his construction site, maybe we should just tell him to fuck off?
;l_2_in_h_3;;Ну да, ну да — эта-то тоже небось на своем реднек-ранчо кузенов обслуживала. Семья, блять… Бросай это, Чел, бросай!;Yeah, right — this one probably serviced her cousins on her redneck ranch too. Family, my ass... Drop it, Bud, drop it!
;l_2_in_h_4;;И откуда у этой пизды твой номер?;And how does this cunt have your number?
;l_3_in_h_1;;До сих пор не могу поверить, что ты согласился на это! Ты реально думаешь, что она пришла бы с тобой на свидание?! При том, что ты одет как косплеер колумбайна?! Я понимаю, что ты пиздец как любишь эту свою игрушку, но всему же есть предел.;I still can't believe you agreed to this! Do you really think she'd go on a date with you?! Especially since you're dressed like a Columbine cosplayer?! I get that you fucking love this toy of yours, but there's a limit to everything.
;l_3_in_h_2;;Мне кажется, тут пора давать на тормоза, Чел. Я понимаю, тебе не хочется быть лохом, поэтому нужна телочка. Но какой нахуй Рональд Рейган? Эй! Ты вообще слушаешь меня?;I think it's time to hit the brakes, Bud. I get you don't want to be a loser, so you need a chick. But what the fuck does Ronald Reagan have to do with anything? Hey! Are you even listening to me?
;l_4_in_h_1;;Чел, Чел блять!;Bud, for fuck's sake, Bud!
;l_4_in_h_1_c;;Серьёзно, тебя разводят. Это, блять, Майк Джей хочет спиздить твои бабки! Раз ты дал ему номер, то выкинь этот телефон нахуй!;Seriously, you're being played. It's fucking Mike J trying to steal your cash! Since you gave him the number, throw that fucking phone away!
;l_4_in_h_2;;Нет, тебе не нужно блядское молоко. Я вообще не уверен в том, что нам можно пить молоко! Клянусь, сука, если из-за тебя мы сдохнем… Эй! Какого хера ты уже попёр в магазин!;No, you don't need the goddamn milk. I'm not even sure we can drink milk! I swear, you son of a bitch, if we die because of you... Hey! Why the hell are you already heading to the store!
;l_5_in_h_1;;Нет.;No.
;l_5_in_h_2;;Нет, блять, не хочу!;No, fuck no, I don't want to!
;l_5_in_h_3;;Например я, сука ты двухмерная!;Like me, you two-dimensional bitch!
;l_5_in_h_4;;Что? Что я не так сказал-то?;What? What did I say wrong?
;l_5_in_h_5;;Окей, стрёмное дерьмо.;Okay, this is some weird shit.
;l_5_in_h_6;;Причём тут это, пизда цифровая?!;What does that have to do with anything, you digital cunt?!
;l_5_in_h_7;;Чел, куда ты, блять, идёшь? Ты серьёзно, что ли, слушаешь её? За… Нахер тебе нож? О нет, только не говори мне, что ты хочешь сделать это! Мы с тобой всю жизнь! Сколько я тебе дрочил, а?;Bud, where the fuck are you going? Are you seriously listening to her? Wha... Why the fuck do you need a knife? Oh no, don't tell me you're going to do it! We've been together our whole lives! How many times have I jerked you off, huh?
;l_5_in_h_8;;У тебя кишка тонка, хуёк! На нахуй!;You don't have the guts, you little prick! Take this!
;l_5_in_h_9;;Попробуй теперь достань свой режек, мудила! Э! Куда ты побежал!;Try and get your fucking blade now, you asshole! Hey! Where are you running!
