comments;id;tags;ru
Игра сломалась;;;
;game_start;;Здравствуйте, это служба поддержки игрового автомата «Фортуна Chapple-jam». На связи с вами наш эксперт Мать Сисивоз. Задайте вопрос и Мать Сисивоз ответит вам в кратчайшие сроки!
;game_crash_choose_1;;У меня сломался игровой автомат, кнопка не работает!
;game_crash_choose_2;;(Зарыть чат поддержки)
;game_crash_answer_1;;Подождите мигнутку, сейчас подключится наш специаглист!
Подключился специаглист;;;
;support_message_1;;Здравствуйте, я специаглист. Скажите пожалуйста, вы понимаете, что игровой автомат запрещается крутить в рабочее время?
;support_message_1_answer_1;;Да
;support_message_1_answer_2;;Нет
;support_message_1_answer_3;;У меня автомат сломался! Помогите мне!
;support_message_1_answer_1_message_1;;Хорошо. Раз вы это знаете, то это значит, что вы точно не на работе, верно?
;support_message_1_answer_1_message_2;;Конечно же верно! Кто будет рисковать благополучием себя и своей семьи ради дешёвого залпа дофамина в мозг.
;support_message_1_answer_1_message_3;;Нарушение правил на рабочем месте Smært Corp(es) повлечёт за собой кровную месть и полную деинсталляцию вашего бытия! Так что лучше не рискуйте.
;support_message_1_answer_1_message_4;;:)
;support_message_1_answer_2_message_1;;Ну что же, ленивая скотина, теперь ты знаешь!
;support_message_1_answer_2_message_2;;Проиграл все свои Dengi небось, да?
;support_message_1_answer_2_message_3;;Ну, плохие новости. За нарушение трудового договора Smært Corp(es) вы будете наказаны.
;support_message_1_answer_2_message_4;;Санкционные меры подразумевают следующее: обескоживание, квантовая тюрьма, рабство, лоботомия или poroszkoproizwodstwo.
;support_message_1_answer_2_message_5;;Пожалуйста, самостоятельно выберите меру своего наказания в отделе Humanity Retardation (HR).
;support_message_1_answer_2_message_6;;Не смей не гробатиться, лень переходит в тлен!
;support_message_1_answer_3_message_1;;Ну что же, мне кажется это замечательный способ вам пересесть с лодки лудки на судно труда. Иначе суд обратит вас в труп, мда.
;support_message_1_answer_3_message_2;;Пожалуйста, заройте программу и больше не выходите на связь.
;support_message_1_answer_3_message_3;;Я абсолютно серьёзно.
;support_message_1_answer_3_message_4;;Мы выпотрошим вас как треску, если вы хоть раз попробуете отрыть эту игру.
;support_message_1_answer_3_message_5;;Ваша семья, кстати, уже направляется в КАЗаНЬ.
;support_message_1_answer_3_message_6;;Возвращайтесь к работе.
;support_message_1_answer_3_message_7;;Чао!
;support_message_2;;Напоминаю вам, что я специаглист. Мы внедряемся в ваш организм, чтобы решать за вас технические проблемы! Чтобы начать диаглистику, пожалуйста, коснитесь USB-порта вашего устройства. После того, как вы хорошо потрогаете USB-порт, нажмите левую кнопку мыши, чтобы продолжить чат.
;support_message_3;;У-ля-ля! Да уж, ну и офис вы тут себе забабахали! Сразу видно — образцовый сотрудник Smært Corp(es).
;support_message_4;;Только вся эта гадкая пропаганда. Ты куришь?
;support_message_4_answer_1;;Курил, но бросил
;support_message_4_answer_2;;Да, курю
;support_message_4_answer_3;;Нет, не курю
;support_message_4_answer_1_message_1;;Какие допинги тогда ты используешь для того, чтобы поддерживать свои Качества Абсолютного Лидерства?
;support_message_4_answer_1_message_2;;А, может быть, ты фанат негатиновых пластырей? Блокировка всех центров мозга отвечающих за чувства и эмоции — шикарная тема.
;support_message_4_answer_1_message_3;;О, а этот бег скелетов видишь? Ты знаешь, что это наши главные сотрудники?
;support_message_4_answer_2_message_1;;Ну что же, ленивая скотина, теперь ты знаешь!
;support_message_4_answer_2_message_2;;Вся эта ерунда со вдыханием ядов, чтобы превратить реальность в конфетку — это всё эФиктивные менеджеры из BIG DENGI с их «ценностями» врут народу.
;support_message_4_answer_2_message_3;;Поэтому мы их и ненавидим. Знаешь, что тебе действительно дают сигареты?
;support_message_4_answer_2_message_4;;Рак. Сердечные болезни. Импотенцию.
;support_message_4_answer_2_message_5;;Конечно, речь идёт о том ширпотребе, что в ларьках продаётся.
;support_message_4_answer_2_message_6;;Официальный табак от нашей дочерней Bella A’more улучшает производительность на 35 процентов, пищеварение — на 85, а мозговую активность — на 215. Спасибо целебному кадмию в составе!
;support_message_4_answer_2_message_7;;А продолжительность жизни увеличивается в 0,7 раз!
;support_message_4_answer_2_message_8;;Какие результаты!
;support_message_4_answer_2_message_9;;Скажи, ты бы хотел повысить свои результаты в работе и не только?
;support_message_4_answer_3_message_1;;Похвально. В наше время, где карбоновый выхлоп убивает голубя, не курить — да ты прямо титан!
;support_message_4_answer_3_message_2;;Хм… Что это у тебя такое тут интересное…
;support_message_4_answer_3_message_3;;Не смотри по сторонам или на компьютер, я про твой организм.
;support_message_4_answer_3_message_4;;Ты знал, что у тебя кишки кисловатые? А вот мозг ни капли не горчит. Перемещаться по нему как в киселе плавать.
;support_message_4_answer_3_message_5;;Нравится такое? Хочешь, я заберусь прямо в твой центр воспоминаний. Интересно, ради кого ты гробатишься на этой работе.
;support_message_4_answer_3_message_6;;А, по поводу чата не волнуйся. Я вышел из себя и теперь в тебе. Специаглист — сложное изобретение. Представь такого кибернетического микро-червя. Я могу как ползать внутри, так и писать тебе сюда. И я не нахожусь под «их» контролем. Ну так что, продолжим?
Friend In Me или Превращение в автомат (ветка №5);;;
;support_message_5;;А знаешь что? Даже если ты не знал, то теперь знаешь!
;support_message_6;;Smært Corp(es) — это не просто название, мы тут шутки не шутим! Даже после смерти твое тело — это наше дело. Наша собственность. Наш ресурс. Процессы гниения прекрасно можно остановить химической обработкой организма.
;support_message_7;;И ты будешь шагать. Маршировать даже! Ты будешь слышать звуки победы и идти. Ты это самый преданный кусочек Smært Corp(es). Мы не машина, не злой механизм капиталообращения. Мы один организм.
;support_message_8;;Хотя, глядя на тебя изнутри…
;support_message_9;;Ну и ну, какой же образец нам тут попался, совсем не образина. А, кстати, про твой автомат.
;support_message_10;;«КругоСмерть» перестала работать, потому что у тебя кончились Dengi. Но ты же читал инструкцию, да? Можно крутить и на свою жизнь!
;support_message_11;;И судя по твоей прелестной плоти… В тебе прокрутов 30–40, не меньше! Что думаешь, старина? Готов прокручивать свою жизнь?
;support_message_11_answer_1;;Да, готов
;support_message_11_answer_2;;Нет, я предпочел бы играть на Dengi
;support_message_11_answer_1_message_1;;О славно, славно, славно, славно!
;support_message_11_answer_1_message_2;;Славно и сплавно! Сплавится сплав плоти и слотов полотно!
;support_message_11_answer_1_message_3;;И плотно засядут внутри внутренностей искренности и трудности.
;support_message_11_answer_1_message_4;;Но выведут через кровопровод наружу настоящую ВОЛЮту. ДА! ДА! ДА!
;support_message_11_answer_1_message_5;;Боже, купаясь в твоих внутренностях, я понимаю кое-что… Думаю, тебе интересно будет это услышать.
;support_message_11_answer_2_message_1;;Dengi — это лживая бумажка из-за моря! Она смердит смертью, мором, и рабством! Это позор! То, что мы до сих пор на этой игле как в иглу — это ужасная, ужасная проблема!
;support_message_11_answer_2_message_2;;Так-то и в Smært Corp(es) проблем хватает. Поверь, я был в таких мозгах и лёгких, в таких желчных пузырях и коленных чашечках, что тебе даже и не снилось.
;support_message_11_answer_2_message_3;;Эта рыба гниет не с головы, она гниет испокон веков.
;support_message_11_answer_2_message_4;;Тут проблема даже не Dengi и не трата жизни. Тут процесс омертвения плоти самой ткани времени.
;support_message_11_answer_2_message_5;;Всё это, весь твой маленький офис и то, что за его пределами — это работа не пары минут, часов или дней. Это работа тысяч лет вымирания и омертвения. Это просто крах здравого смысла и создание больной бессмыслицы.
;support_message_11_answer_2_message_6;;Вырождение самой реальности. BIG DENGI, Smært Corp(es), как ты лодку не назови — это все равно будет не титан, а «Титаник».
Friend in Me(ветка №1);;;
;support_message_12;;Знаешь что? Это всё ложь. Да, я не шучу. Всё, что вокруг тебя — это ложь. Да, да, ты и так это знал. Дай угадаю, ты в Калининграде, верно? Экспозиция, которую создал… Человек-текст, верно?
;support_message_13;;Знаешь, что такое симбиоз? Учитывая, что рейтинг игр на этой выставке 16+, то биология вроде как у тебя уже была. Я предлагаю тебе сделку. Она почти на миллион, но не Dengi, рублей или долларов. Давай-ка повеселимся: ты и я.
;support_message_14;;Этот мир и другие реальности — они пропитаны чем-то настолько едким, но манящим… Это почти как цистерны серной кислоты. Ты знаешь, что это смертельно. Но ядовито-зелёный в мультиках и кино сразу цепляет взгляд.
;support_message_15;;Реальности, твоя и моя, похожи. От них не оторвать взгляд, какой бы кошмар в них не творился. Но у меня есть идея… Точнее… Даже пара идей…
;support_message_16;;Они поразительны! Но что я за паразит такой, если я тебе сразу скажу про них. Так, что скажешь, партнёр? Идём zu einer Party? Хочешь вывернуть мир наизнанку? Хочешь сбросить эту шляпку из фольги, оторваться от грибницы и понять что, где и как.
;support_message_17;;Хочешь увидеть реальность нагой как Афродиту Анадиомена?
;support_message_17_answer_1;;Да
;support_message_17_answer_2;;Нет
;support_message_17_answer_1_message_1;;Тогда дай мне насытится твоими соками…
;support_message_17_answer_1_message_2;;И давай, вставай, вставай.
;support_message_17_answer_1_message_3;;Тут делать больше нечего, уступи место другим.
;support_message_17_answer_1_message_4;;9738
;support_message_17_answer_1_message_5;;У нас с тобой есть кое-какая работа.
;support_message_17_answer_1_message_6;;Добро пожаловать в настоящий мир.
;support_message_17_answer_2_message_1;;Ха, ну что же. Тогда давай, опять касайся USB-привода.
;support_message_17_answer_2_message_2;;Личинки мои всё равно уже в тебе. Прямо в мозгу. Там, где твои воспоминания создают красивые картинки прошлого. Теперь я тоже одна из этих картин.
