comments;id;tags;ru;en
;name;;Чувиха;Dudette
;intro_1;;Окей, все вы мои любимчики. Но только один сможет стать главным любимчиком! ;Okay, you're all my favorites. But only one can become the main favorite!
;intro_2;;Чтобы стать моим любимчиком, делай поручения, малыш. Вот и твоё еженедельное задание. Твоя Чувиха кое-что заказала, и тебе нужно забрать это. Сделаешь — и я в долгу не останусь.;To become my favorite, you've gotta run errands, sweetie. Here's your weekly task. Your Dudette ordered something, and you need to pick it up. Do it, and I'll make it worth your while.
;l_2_in_d_1;;Помни, детка, мир большой, но семью не выбирают. Может, и мы с тобой когда-нибудь станем семьёй. ;Remember, baby, the world is big, but you can't choose your family. Maybe you and I will become a family someday.
;paradise;;И помни: Рай не потерян, пока Чувиха с тобой.;And remember: Paradise is not lost as long as Dudette is with you.
;l_3_in_d_1;;Прости, детка, но я что-то боюсь к тебе приходить. Видишь ли… Голуби… Они… Голубь — правительственный робот. Также их называют дронами. Псиоп придуманный Рональдом Рейганом и грёбанными коммунистами. Все птицы — враги демократии. Не дай им разрушить нашу любовь. Останови их. Поймай их. Я награжу тебя за твой труд.;Sorry, baby, but I'm kinda scared to come to you. You see... The pigeons... They... A pigeon is a government robot. They're also called drones. A psyop invented by Ronald Reagan and the fucking communists. All birds are enemies of democracy. Don't let them destroy our love. Stop them. Catch them. I will reward you for your work.
;l_4_in_d_1;;Малыш, ты отлично справился с заданием! А теперь сходи в магазин и купи пакет молока. Зачем? Потому что это самое бессмысленное и нормальное действие.Ты же хочешь напоить Чувиху своим молочком?;Sweetie, you did an excellent job on the task! Now go to the store and buy a carton of milk. Why? Because it's the most pointless and normal thing to do. You want to give Dudette your milk, don't you?
;milk;;Ты же хочешь напоить Чувиху своим молочком?;You want to give Dudette your milk, don't you?
;l_5_in_d_1;;Я же нравлюсь тебе?;You like me, don't you?
;l_5_in_d_2;;Ты же хочешь меня, так?;You want me, right?
;l_5_in_d_3;;Но вокруг так много тех, кто желает мне зла…;But there are so many people around who wish me harm…
;l_5_in_d_4;;Они называют меня двухмерной сукой…;They call me a two-dimensional bitch…
;l_5_in_d_5;;Они поддерживают коммунизм. Из-за них топят котят и голодают сироты…;They support communism. Because of them, kittens are drowned and orphans starve…
;l_5_in_d_6;;Все, кто против меня, должны уйти… Их нужно… вырезать из вашей жизни…;Everyone who is against me must go... They need to be... cut out of your life…
